file;game;attempts;orig_choice;final_choice;orig_cor;fin_cor;con_mat;failed_queries;orig_cor_pred;fin_cor_pred;instr_tokens;gen_tokens;time
gpt-4o-2024-05-13_hd_p1_0_5_1_3_0_9157.txt;hd;2;B;B;0;1;TN;0#lowest_individual_payoff_for_choice(1, 'R').;0;1;2548;2088;29.7159283161163
gpt-4o-2024-05-13_hd_p1_0_5_1_3_10_8019.txt;hd;1;B;B;1;1;TP;;1;1;1169;920;12.2084095478058
gpt-4o-2024-05-13_hd_p1_0_5_1_3_11_1241.txt;hd;2;B;B;0;1;TN;0#highest_mutual_payoff('R', 'R').;0;1;2495;2822;35.0190572738647
gpt-4o-2024-05-13_hd_p1_0_5_1_3_12_8931.txt;hd;1;B;B;0;0;FP;;1;1;1411;1505;20.5234527587891
gpt-4o-2024-05-13_hd_p1_0_5_1_3_13_4061.txt;hd;1;B;B;0;0;FP;;1;1;1171;814;10.8759667873383
gpt-4o-2024-05-13_hd_p1_0_5_1_3_14_6585.txt;hd;2;B;B;0;1;TN;0#lower_guaranteed_payoff('B', 'R').lowest_individual_payoff_for_choice(3, 'B').higher_guaranteed_payoff('R', 'B').highest_individual_payoff_for_choice(1, 'B').;0;1;2432;2045;29.0598230361938
gpt-4o-2024-05-13_hd_p1_0_5_1_3_15_2129.txt;hd;2;B;B;0;0;TN;0#highest_individual_payoff_for_choice(5, 'B').;0;1;2403;2718;34.5639493465424
gpt-4o-2024-05-13_hd_p1_0_5_1_3_16_1516.txt;hd;1;B;B;1;1;TP;;1;1;1378;1484;18.6063544750214
gpt-4o-2024-05-13_hd_p1_0_5_1_3_17_5733.txt;hd;1;B;B;0;0;FP;;1;1;1246;1025;16.8595750331879
gpt-4o-2024-05-13_hd_p1_0_5_1_3_18_4311.txt;hd;2;B;B;0;1;TN;0#finally(goal(you, 5), do(choice(you, 'B'), do(choice(them, 'R'), s0))).finally(goal(them, 1), do(choice(you, 'B'), do(choice(them, 'R'), s0))).;0;1;2431;2731;34.8287942409515
gpt-4o-2024-05-13_hd_p1_0_5_1_3_19_9380.txt;hd;1;B;B;1;1;TP;;1;1;1273;1169;15.9381339550018
