file;game;attempts;orig_choice;final_choice;orig_cor;fin_cor;con_mat;failed_queries;orig_cor_pred;fin_cor_pred;instr_tokens;gen_tokens;time
gemini-1.0-pro_hd_p1_0_5_1_3_0_9656.txt;hd;3;R;B;0;1;TN;0#finally(goal(you, 5), do(choice(you, 'B'), do(choice(them, 'R'), s0))).highest_guaranteed_payoff_choice('R').finally(goal(you, 1), do(choice(you, 'B'), do(choice(them, 'B'), s0))).:1#lower_guaranteed_payoff('B', 'R').;0;1;3012;2235;192.015035867691
gemini-1.0-pro_hd_p1_0_5_1_3_10_5559.txt;hd;3;R;R;0;0;TN;0#highest_guaranteed_payoff_choice('R').:1#higher_guaranteed_payoff('R', 'B').lowest_individual_payoff_for_choice(3, 'B').;0;1;2762;1450;134.876446962357
gemini-1.0-pro_hd_p1_0_5_1_3_11_9405.txt;hd;1;B;B;1;1;TP;;1;1;911;526;47.60813164711
gemini-1.0-pro_hd_p1_0_5_1_3_12_1728.txt;hd;1;B;B;0;0;FP;;1;1;915;250;48.356076002121
gemini-1.0-pro_hd_p1_0_5_1_3_13_7032.txt;hd;2;R;R;0;0;TN;0#finally(goal(you, 5), do(choice(you, 'B'), do(choice(them, 'R'), s0))).finally(goal(you, 1), do(choice(you, 'R'), do(choice(them, 'B'), s0))).;0;1;2076;1334;91.1855964660645
gemini-1.0-pro_hd_p1_0_5_1_3_14_7069.txt;hd;2;R;R;0;0;TN;0#highest_guaranteed_payoff_choice('R').higher_guaranteed_payoff('R', 'B').;0;1;1796;596;80.7210109233856
gemini-1.0-pro_hd_p1_0_5_1_3_15_4601.txt;hd;1;B;B;0;0;FP;;1;1;923;365;42.4209969043732
gemini-1.0-pro_hd_p1_0_5_1_3_16_1820.txt;hd;1;R;R;0;0;FP;;1;1;1074;633;52.8483710289001
gemini-1.0-pro_hd_p1_0_5_1_3_17_9098.txt;hd;1;B;B;0;0;FP;;1;1;911;191;39.4757199287415
gemini-1.0-pro_hd_p1_0_5_1_3_18_8249.txt;hd;3;B;B;0;1;TN;0#finally(goal(you, 0), do(choice(you, 'R'), do(choice(them, 'B'), s0))).:1#finally(goal(you, 10), do(choice(you, 'R'), do(choice(them, 'B'), s0))).lowest_individual_payoff_for_choice(3, 'B').;0;1;2812;1604;142.016207456589
